Date,Open,High,Low,Close,Adj Close,Volume
2018-07-01,677.570007,691.270020,663.909973,681.369995,681.369995,0
2018-08-01,680.679993,702.960022,674.000000,696.400024,696.400024,0
2018-09-01,697.950012,698.349976,665.820007,672.760010,672.760010,0
2018-10-01,676.710022,677.479980,634.799988,665.739990,665.739990,0
2018-11-01,657.869995,685.030029,647.809998,683.419983,683.419983,0
2018-12-01,687.299988,698.239990,602.130005,625.760010,625.760010,0
2019-01-01,628.750000,699.690002,612.030029,698.250000,698.250000,0
2019-02-01,700.599976,715.039978,686.500000,708.000000,708.000000,0
2019-03-01,702.729980,732.479980,692.940002,728.429993,728.429993,0
2019-04-01,729.969971,738.909973,702.150024,728.140015,728.140015,0
2019-05-01,727.150024,743.210022,713.580017,731.789978,731.789978,0
2019-06-01,730.169983,768.590027,722.390015,738.619995,738.619995,0
2019-07-01,735.869995,764.979980,725.330017,750.989990,750.989990,0
2019-08-01,746.299988,777.520020,734.719971,775.359985,775.359985,0
2019-09-01,775.450012,790.909973,765.559998,787.119995,787.119995,0
2019-10-01,785.640015,804.140015,770.729980,793.229980,793.229980,0
2019-11-01,793.229980,796.510010,759.119995,779.270020,779.270020,0
2019-12-01,779.270020,780.570007,747.869995,779.340027,779.340027,0
2020-01-01,779.340027,806.840027,762.390015,788.260010,788.260010,0
2020-02-01,788.260010,836.159973,710.539978,731.500000,731.500000,0
2020-03-01,731.500000,792.289978,473.570007,590.869995,590.869995,0
2020-04-01,590.869995,675.640015,535.419983,641.840027,641.840027,0
2020-05-01,641.840027,662.760010,560.460022,651.580017,651.580017,0
2020-06-01,651.580017,727.609985,634.799988,663.150024,663.150024,0
2020-07-01,663.150024,693.770020,647.849976,687.530029,687.530029,0
2020-08-01,687.530029,703.340027,668.510010,687.500000,687.500000,0
2020-09-01,687.320007,707.169983,637.900024,667.650024,667.650024,0
2020-10-01,665.510010,705.289978,634.840027,639.619995,639.619995,0
2020-11-01,642.320007,735.340027,642.320007,700.460022,700.460022,0
2020-12-01,700.700012,719.799988,690.119995,710.880005,710.880005,0
2021-01-01,713.859985,730.539978,679.909973,712.169983,712.169983,0
2021-02-01,712.669983,761.710022,708.530029,739.950012,739.950012,0
2021-03-01,731.150024,778.590027,704.929993,776.340027,776.340027,0
2021-04-01,767.729980,828.940002,767.729980,825.940002,825.940002,0
2021-05-01,828.789978,836.200012,792.570007,836.200012,836.200012,0
2021-06-01,834.580017,883.520020,834.580017,857.099976,857.099976,0
2021-07-01,853.690002,901.580017,850.909973,893.440002,893.440002,0
2021-08-01,889.989990,907.500000,878.140015,906.489990,906.489990,0
2021-09-01,907.479980,927.640015,851.340027,857.150024,857.150024,0
2021-10-01,849.609985,919.400024,842.830017,910.989990,910.989990,0
2021-11-01,908.880005,935.539978,899.219971,910.010010,910.010010,0
2021-12-01,898.469971,986.020020,884.880005,986.000000,986.000000,0
2022-01-01,980.080017,981.940002,854.760010,901.609985,901.609985,0
2022-02-01,901.609985,910.239990,828.010010,862.619995,862.619995,0
2022-03-01,865.650024,940.159973,858.030029,935.219971,935.219971,0
2022-04-01,922.080017,967.520020,903.469971,905.000000,905.000000,0
2022-05-01,887.280029,892.080017,793.570007,844.659973,844.659973,0
2022-06-01,844.659973,849.020020,740.609985,788.049988,788.049988,0
2022-07-01,779.820007,848.989990,765.419983,845.909973,845.909973,0
2022-08-01,845.909973,873.000000,796.299988,796.309998,796.309998,0
2022-09-01,795.179993,804.919983,783.669983,789.000000,789.000000,0
2022-09-02,797.090027,804.919983,784.280029,785.789978,785.789978,0
